Date;Relative Search Volicity;Country;Plateform
19/01/2020;2;Japan;Google
20/01/2020;4;Japan;Google
21/01/2020;8;Japan;Google
22/01/2020;13;Japan;Google
23/01/2020;20;Japan;Google
24/01/2020;29;Japan;Google
25/01/2020;35;Japan;Google
26/01/2020;46;Japan;Google
27/01/2020;53;Japan;Google
28/01/2020;87;Japan;Google
29/01/2020;94;Japan;Google
30/01/2020;100;Japan;Google
31/01/2020;81;Japan;Google
01/02/2020;53;Japan;Google
02/02/2020;43;Japan;Google
03/02/2020;45;Japan;Google
04/02/2020;41;Japan;Google
05/02/2020;42;Japan;Google
06/02/2020;36;Japan;Google
19/01/2020;0;Korea;Google
20/01/2020;5;Korea;Google
21/01/2020;7;Korea;Google
22/01/2020;9;Korea;Google
23/01/2020;23;Korea;Google
24/01/2020;38;Korea;Google
25/01/2020;50;Korea;Google
26/01/2020;52;Korea;Google
27/01/2020;75;Korea;Google
28/01/2020;95;Korea;Google
29/01/2020;72;Korea;Google
30/01/2020;67;Korea;Google
31/01/2020;100;Korea;Google
01/02/2020;73;Korea;Google
02/02/2020;75;Korea;Google
03/02/2020;62;Korea;Google
04/02/2020;59;Korea;Google
05/02/2020;55;Korea;Google
06/02/2020;60;Korea;Google
19/01/2020;0;Singapore;Google
20/01/2020;3;Singapore;Google
21/01/2020;9;Singapore;Google
22/01/2020;13;Singapore;Google
23/01/2020;26;Singapore;Google
24/01/2020;35;Singapore;Google
25/01/2020;43;Singapore;Google
26/01/2020;54;Singapore;Google
27/01/2020;55;Singapore;Google
28/01/2020;84;Singapore;Google
29/01/2020;69;Singapore;Google
30/01/2020;75;Singapore;Google
31/01/2020;67;Singapore;Google
01/02/2020;59;Singapore;Google
02/02/2020;51;Singapore;Google
03/02/2020;52;Singapore;Google
04/02/2020;72;Singapore;Google
05/02/2020;90;Singapore;Google
06/02/2020;100;Singapore;Google
19/01/2020;2;Thailand;Google
20/01/2020;5;Thailand;Google
21/01/2020;13;Thailand;Google
22/01/2020;19;Thailand;Google
23/01/2020;31;Thailand;Google
24/01/2020;47;Thailand;Google
25/01/2020;92;Thailand;Google
26/01/2020;96;Thailand;Google
27/01/2020;100;Thailand;Google
28/01/2020;93;Thailand;Google
29/01/2020;91;Thailand;Google
30/01/2020;86;Thailand;Google
31/01/2020;90;Thailand;Google
01/02/2020;59;Thailand;Google
02/02/2020;66;Thailand;Google
03/02/2020;53;Thailand;Google
04/02/2020;52;Thailand;Google
05/02/2020;50;Thailand;Google
06/02/2020;49;Thailand;Google
19/01/2020;1;Australia;Google
20/01/2020;2;Australia;Google
21/01/2020;17;Australia;Google
22/01/2020;14;Australia;Google
23/01/2020;19;Australia;Google
24/01/2020;28;Australia;Google
25/01/2020;91;Australia;Google
26/01/2020;74;Australia;Google
27/01/2020;87;Australia;Google
28/01/2020;100;Australia;Google
29/01/2020;94;Australia;Google
30/01/2020;95;Australia;Google
31/01/2020;89;Australia;Google
01/02/2020;76;Australia;Google
02/02/2020;66;Australia;Google
03/02/2020;58;Australia;Google
04/02/2020;56;Australia;Google
05/02/2020;56;Australia;Google
06/02/2020;53;Australia;Google
19/01/2020;29003;China;Baidu
20/01/2020;266892;China;Baidu
21/01/2020;659926;China;Baidu
22/01/2020;852363;China;Baidu
23/01/2020;1374253;China;Baidu
24/01/2020;1469947;China;Baidu
25/01/2020;2330851;China;Baidu
26/01/2020;2150021;China;Baidu
27/01/2020;1816430;China;Baidu
28/01/2020;2227492;China;Baidu
29/01/2020;1503255;China;Baidu
30/01/2020;1372206;China;Baidu
31/01/2020;1390560;China;Baidu
01/02/2020;1334217;China;Baidu
02/02/2020;1374154;China;Baidu
03/02/2020;1277132;China;Baidu
04/02/2020;1244048;China;Baidu
05/02/2020;1209808;China;Baidu
06/02/2020;1734197;China;Baidu
;;;